City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Rincon,US,2022-04-22 23:47:53,32.296,-81.2354,73.36,40,0,11.5
206,Morant Bay,JM,2022-04-22 23:47:54,17.8815,-76.4093,78.42,83,40,10.38
207,Puerto Del Rosario,ES,2022-04-22 23:47:54,28.5004,-13.8627,64.15,68,20,5.75
208,Djibo,BF,2022-04-22 23:47:54,14.1022,-1.6306,89.04,11,100,7.67
209,Puerto Ayora,EC,2022-04-22 23:47:55,-0.7393,-90.3518,73.29,89,45,7.7
210,Lac-Megantic,CA,2022-04-22 23:47:55,45.5834,-70.8823,34.72,68,49,10.98
211,Villa Del Rosario,CO,2022-04-22 23:47:56,7.8339,-72.4742,79.18,69,40,8.05
212,Los Angeles,US,2022-04-22 23:44:20,34.0522,-118.2437,70.02,58,0,29.93
213,Madingou,CG,2022-04-22 23:47:56,-4.1536,13.55,73.54,98,94,3.18
214,Ginda,IN,2022-04-22 23:47:57,30.6945,78.4932,52.48,41,0,8.9
215,Vardo,NO,2022-04-22 23:47:57,70.3705,31.1107,35.06,96,97,18.14
216,Skibbereen,IE,2022-04-22 23:47:58,51.55,-9.2667,57.11,67,100,18.48
217,Machali,CL,2022-04-22 23:45:59,-34.1833,-70.6667,57.11,68,52,2.51
218,Methoni,GR,2022-04-22 23:47:58,36.8197,21.7049,59.22,87,55,8.21
219,Coquimbo,CL,2022-04-22 23:47:59,-29.9533,-71.3436,56.93,100,20,5.75
220,Benidorm,ES,2022-04-22 23:47:59,38.5382,-0.131,61.41,84,31,3.0
221,Kinwat,IN,2022-04-22 23:48:00,19.6333,78.2,85.19,39,83,4.18
222,Tessalit,ML,2022-04-22 23:48:00,20.1986,1.0114,78.82,7,72,6.13
223,Ilawa,PL,2022-04-22 23:48:01,53.596,19.5685,42.78,86,9,6.78
224,Chernyshkovskiy,RU,2022-04-22 23:48:01,48.4219,42.2308,47.57,92,59,10.27
225,Kamenka,RU,2022-04-22 23:48:02,51.3223,42.7678,42.89,95,76,6.71
226,Poli,TZ,2022-04-22 23:48:02,-3.3333,36.8,64.67,96,98,3.47
227,Abdulino,RU,2022-04-22 23:48:03,53.7,53.6667,39.69,68,13,7.54
228,Camacha,PT,2022-04-22 23:48:03,33.0833,-16.3333,56.62,88,75,16.11
229,Miranda,CO,2022-04-22 23:45:16,3.2499,-76.2281,68.13,97,83,2.75
230,Lilongwe,MW,2022-04-22 23:48:04,-13.9669,33.7873,61.93,96,13,3.31
231,Centenario Do Sul,BR,2022-04-22 23:49:04,-22.8211,-51.5953,71.08,59,40,3.11
232,Atakpame,TG,2022-04-22 23:49:05,7.5333,1.1333,73.85,93,85,5.08
233,Luanda,AO,2022-04-22 23:47:15,-8.8368,13.2343,78.8,89,20,4.61
234,Biltine,TD,2022-04-22 23:49:05,14.5333,20.9167,86.7,16,29,6.24
235,Saint-Ambroise,CA,2022-04-22 23:49:06,48.5501,-71.3324,35.58,51,81,14.97
236,Klaksvik,FO,2022-04-22 23:49:06,62.2266,-6.589,40.12,81,91,18.52
237,Zwedru,LR,2022-04-22 23:49:07,6.0667,-8.1281,74.08,97,86,1.83
238,Nanortalik,GL,2022-04-22 23:49:07,60.1432,-45.2371,34.61,99,100,5.88
239,Alenquer,BR,2022-04-22 23:49:08,-1.9417,-54.7383,72.79,96,93,2.71
240,Marquette,US,2022-04-22 23:49:08,46.5333,-87.6335,41.16,71,99,5.97
241,Nukus,UZ,2022-04-22 23:49:09,42.4531,59.6103,62.58,82,20,13.8
242,Corrente,BR,2022-04-22 23:49:09,-3.7367,-43.3394,72.86,98,89,3.09
243,Henderson,US,2022-04-22 23:49:09,36.0397,-114.9819,72.82,25,20,12.66
244,Banloc,RO,2022-04-22 23:49:10,45.3836,21.1381,55.42,95,100,11.21
245,Kharp,RU,2022-04-22 23:49:10,66.8014,65.8081,-4.58,93,95,5.95
246,Pemba,MZ,2022-04-22 23:49:11,-12.974,40.5178,77.7,94,40,10.36
247,Mahon,ES,2022-04-22 23:49:11,39.8885,4.2658,57.76,88,0,14.97
248,Sao Filipe,CV,2022-04-22 23:49:12,14.8961,-24.4956,72.77,79,1,4.59
249,Ust-Ishim,RU,2022-04-22 23:49:12,57.6935,71.1665,16.56,79,23,6.53
250,Opuwo,NA,2022-04-22 23:49:13,-18.0607,13.84,63.86,46,4,3.87
251,Port Hawkesbury,CA,2022-04-22 23:49:13,45.6169,-61.3485,43.92,95,100,11.5
252,Kaya,BF,2022-04-22 23:46:27,13.0917,-1.0844,90.84,13,14,4.85
253,Koumra,TD,2022-04-22 23:49:14,8.9126,17.5539,79.25,67,74,4.9
254,Saryagash,KZ,2022-04-22 23:49:14,41.4511,69.1701,60.24,74,20,4.99
255,Tres Arroyos,AR,2022-04-22 23:49:15,-38.3739,-60.2798,47.89,62,33,8.23
256,Antofagasta,CL,2022-04-22 23:49:15,-23.65,-70.4,61.88,85,42,6.2
257,Takoradi,GH,2022-04-22 23:49:16,4.8845,-1.7554,80.6,86,20,9.04
258,Synya,RU,2022-04-22 23:49:16,65.3718,58.0387,3.85,98,46,3.22
259,Asyut,EG,2022-04-22 23:49:17,27.181,31.1837,66.38,35,0,8.5
260,Chodavaram,IN,2022-04-22 23:49:17,17.8333,82.95,82.24,79,4,3.62
261,Parana,AR,2022-04-22 23:49:18,-31.732,-60.5238,56.57,93,43,3.89
262,Pokhara,NP,2022-04-22 23:49:18,28.2333,83.9833,66.69,47,0,7.96
263,Abnub,EG,2022-04-22 23:49:19,27.2696,31.1511,66.42,36,0,8.19
264,Berlevag,NO,2022-04-22 23:49:19,70.8578,29.0864,35.4,88,99,12.03
265,Thompson,CA,2022-04-22 23:49:20,55.7435,-97.8558,39.4,74,86,5.3
266,Ponta Do Sol,PT,2022-04-22 23:49:20,32.6667,-17.1,63.23,69,93,12.48
267,Urbano Santos,BR,2022-04-22 23:49:21,-3.2078,-43.4036,74.23,97,94,2.98
268,Miastko,PL,2022-04-22 23:49:21,54.0028,16.9826,41.7,79,12,5.57
269,Buturlino,RU,2022-04-22 23:49:22,55.5667,44.8974,36.25,76,14,2.73
270,Santa Rosa,PH,2022-04-22 23:49:22,14.3122,121.1114,86.09,66,11,12.26
271,Havoysund,NO,2022-04-22 23:49:22,70.9963,24.6622,34.03,77,93,16.82
272,Morondava,MG,2022-04-22 23:49:23,-20.2833,44.2833,75.65,89,98,3.06
